ID                 CATEGORY              CPU_CORES  MEMORY
r5d.metal          memory_optimized      96         768
r5d.xlarge         accelerated_computing 4          32
r5dn.12xlarge      accelerated_computing 48         384
r5dn.16xlarge      accelerated_computing 64         512
r5dn.24xlarge      accelerated_computing 96         768
r5dn.2xlarge       accelerated_computing 8          64
r5dn.4xlarge       accelerated_computing 16         128
r5dn.8xlarge       accelerated_computing 32         256
r5dn.large         accelerated_computing 2          16
r5dn.metal         memory_optimized      96         768
r5dn.xlarge        accelerated_computing 4          32
r5n.12xlarge       accelerated_computing 48         384
r5n.16xlarge       accelerated_computing 64         512
r5n.24xlarge       accelerated_computing 96         768
r5n.2xlarge        accelerated_computing 8          64
r5n.4xlarge        accelerated_computing 16         128
r5n.8xlarge        accelerated_computing 32         256
r5n.large          accelerated_computing 2          16
r5n.metal          memory_optimized      96         768
r5n.xlarge         accelerated_computing 4          32
r6a.12xlarge       accelerated_computing 48         384
r6a.16xlarge       accelerated_computing 64         512
r6a.24xlarge       accelerated_computing 96         768
r6a.2xlarge        accelerated_computing 8          64
r6a.32xlarge       accelerated_computing 128        1024
r6a.48xlarge       accelerated_computing 192        1536
r6a.4xlarge        accelerated_computing 16         128
r6a.8xlarge        accelerated_computing 32         256
r6a.large          accelerated_computing 2          16
r6a.metal          memory_optimized      192        1536
r6a.xlarge         accelerated_computing 4          32
r6g.12xlarge       accelerated_computing 48         384
r6g.16xlarge       accelerated_computing 64         512
r6g.2xlarge        accelerated_computing 8          64
r6g.4xlarge        accelerated_computing 16         128
r6g.8xlarge        accelerated_computing 32         256
r6g.large          accelerated_computing 2          16
r6g.medium         accelerated_computing 1          8
